CountryName,CapitalName,ContinentName
Dominica,Roseau,North America
Dominican Republic,Santo Domingo,North America
Ecuador,Quito,South America
Egypt,Cairo,Africa
El Salvador,San Salvador,Central America
Equatorial Guinea,Malabo,Africa
Eritrea,Asmara,Africa
Estonia,Tallinn,Europe
Ethiopia,Addis Ababa,Africa
Falkland Islands,Stanley,South America
Faroe Islands,Torshavn,Europe
Fiji,Suva,Oceania
Finland,Helsinki,Europe
France,Paris,Europe
French Polynesia,Papeete,Oceania
Gabon,Libreville,Africa
The Gambia,Banjul,Africa
Georgia,Tbilisi,Europe
Germany,Berlin,Europe
Ghana,Accra,Africa
Gibraltar,Gibraltar,Europe
Greece,Athens,Europe
Greenland,Nuuk,Central America
Grenada,Saint George's,North America
Guam,Hagatna,Oceania
Guatemala,Guatemala City,Central America
Guernsey,Saint Peter Port,Europe
Guinea,Conakry,Africa
Guinea Bissau,Bissau,Africa
Guyana,Georgetown,South America
Haiti,Port-au-Prince,North America
Vatican City,Vatican City,Europe
Honduras,Tegucigalpa,Central America
Hungary,Budapest,Europe
Iceland,Reykjavik,Europe
India,New Delhi,Asia
Indonesia,Jakarta,Asia
Iran,Tehran,Asia
Iraq,Baghdad,Asia
Ireland,Dublin,Europe
Isle of Man,Douglas,Europe
Italy,Rome,Europe
Jamaica,Kingston,North America
Japan,Tokyo,Asia
Jersey,Saint Helier,Europe
Jordan,Amman,Asia
Kazakhstan,Astana,Asia
Kenya,Nairobi,Africa
Kiribati,Tarawa,Oceania
North Korea,Pyongyang,Asia
South Korea,Seoul,Asia
Kosovo,Pristina,Europe
Kuwait,Kuwait City,Asia
Kyrgyzstan,Bishkek,Asia
Laos,Vientiane,Asia
Latvia,Riga,Europe
Lebanon,Beirut,Asia
Lesotho,Maseru,Africa
Liberia,Monrovia,Africa
Libya,Tripoli,Africa
Liechtenstein,Vaduz,Europe
Lithuania,Vilnius,Europe
Luxembourg,Luxembourg,Europe
Macedonia,Skopje,Europe
Madagascar,Antananarivo,Africa
Malawi,Lilongwe,Africa
Malaysia,Kuala Lumpur,Asia
Maldives,Male,Asia
Mali,Bamako,Africa
Malta,Valletta,Europe
Marshall Islands,Majuro,Oceania
Mauritania,Nouakchott,Africa
Mauritius,Port Louis,Africa
Mexico,Mexico City,Central America
Federated States of Micronesia,Palikir,Oceania
Moldova,Chisinau,Europe
Monaco,Monaco,Europe
Mongolia,Ulaanbaatar,Asia
Montenegro,Podgorica,Europe
Montserrat,Plymouth,North America
Morocco,Rabat,Africa
Mozambique,Maputo,Africa
Namibia,Windhoek,Africa
Nepal,Kathmandu,Asia
Netherlands,Amsterdam,Europe
New Caledonia,Noumea,Oceania
New Zealand,Wellington,Oceania
Nicaragua,Managua,Central America
Niger,Niamey,Africa
Nigeria,Abuja,Africa
Niue,Alofi,Oceania
Norfolk Island,Kingston,Oceania
Northern Mariana Islands,Saipan,Oceania
Norway,Oslo,Europe
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Palau,Melekeok,Oceania
Panama,Panama City,Central America
Papua New Guinea,Port Moresby,Oceania
Paraguay,Asuncion,South America
Peru,Lima,South America
Philippines,Manila,Asia
Pitcairn Islands,Adamstown,Oceania
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Puerto Rico,San Juan,North America
Qatar,Doha,Asia
Romania,Bucharest,Europe
Russia,Moscow,Europe
Rwanda,Kigali,Africa
Saint Barthelemy,Gustavia,North America
Saint Helena,Jamestown,Africa
Saint Kitts and Nevis,Basseterre,North America
Saint Lucia,Castries,North America
Saint Pierre and Miquelon,Saint-Pierre,Central America
Saint Vincent and the Grenadines,Kingstown,Central America
Samoa,Apia,Oceania
San Marino,San Marino,Europe
Sao Tome and Principe,Sao Tome,Africa
Saudi Arabia,Riyadh,Asia
Senegal,Dakar,Africa
Serbia,Belgrade,Europe
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Singapore,Singapore,Asia
Sint Maarten,Philipsburg,North America
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Solomon Islands,Honiara,Oceania
Somalia,Mogadishu,Africa
South Africa,Pretoria,Africa
South Sudan,Juba,Africa
Spain,Madrid,Europe
Sri Lanka,Colombo,Asia
Sudan,Khartoum,Africa
Suriname,Paramaribo,South America
Svalbard,Longyearbyen,Europe
Swaziland,Mbabane,Africa
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Syria,Damascus,Asia
Taiwan,Taipei,Asia
Tajikistan,Dushanbe,Asia
Tanzania,Dar es Salaam,Africa
Thailand,Bangkok,Asia
Timor Leste,Dili,Asia
Togo,Lome,Africa
Tonga,Nuku'alofa,Oceania
Trinidad and Tobago,Port of Spain,North America
Tunisia,Tunis,Africa
Turkey,Ankara,Europe
Turkmenistan,Ashgabat,Asia
Turks and Caicos Islands,Grand Turk,North America
Tuvalu,Funafuti,Oceania
Uganda,Kampala,Africa
Ukraine,Kyiv,Europe
United Arab Emirates,Abu Dhabi,Asia
United Kingdom,London,Europe
United States,Washington,US
Uruguay,Montevideo,South America
Uzbekistan,Tashkent,Asia
Vanuatu,Port-Vila,Oceania
Venezuela,Caracas,South America
Vietnam,Hanoi,Asia
US Virgin Islands,Charlotte Amalie,North America
Wallis and Futuna,Mata-Utu,Oceania
Yemen,Sanaa,Asia
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa
US Minor Outlying Islands,Washington,UM
Northern Cyprus,North Nicosia,Europe
British Indian Ocean Territory,Diego Garcia,Africa
